Draw,Date,Winning Number 1,2,3,4,5,Lucky Star 1,2,From Last,Low,High,Odd,Even,1-10,11-20,21-30,31-40,41-50,Division 1 Winners,Division 1 Prize,Division 2 Winners,Division 2 Prize,Division 3 Winners,Division 3 Prize,Division 4 Winners,Division 4 Prize,Division 5 Winners,Division 5 Prize,Division 6 Winners,Division 6 Prize,Division 7 Winners,Division 7 Prize,Division 8 Winners,Division 8 Prize,Division 9 Winners,Division 9 Prize,Division 10 Winners,Division 10 Prize,Division 11 Winners,Division 11 Prize,Division 12 Winners,Division 12 Prize,Division 13 Winners,Division 13 Prize
1814,2025-02-07,10,23,24,29,45,8,10,29,3,2,3,2,1,0,3,0,1,0,0.00,0,0.00,6,146483.20,48,1080.40,673,141.90,1634,61.80,1570,45.20,22992,15.40,35090,11.20,81279,9.00,115925,7.60,508548,5.50,1199016,3.70
1813,2025-02-04,3,4,29,39,43,5,10,,2,3,4,1,2,0,1,1,1,0,0.00,0,0.00,1,643777.50,24,1582.70,463,151.10,1003,73.70,966,53.80,16585,15.60,21383,13.50,49792,10.80,91488,7.10,341234,6.00,792657,4.10
1812,2025-01-31,22,30,41,44,49,2,7,"41,49",1,4,2,3,0,0,2,0,3,0,0.00,1,662510.10,3,51613.10,28,1722.40,529,167.90,1514,62.00,1165,56.60,25940,12.70,26701,13.70,57187,11.90,154092,5.30,430353,6.00,892502,4.70
1811,2025-01-28,9,37,41,42,49,1,9,49,1,4,4,1,1,0,0,1,3,0,0.00,1,474163.90,1,110819.90,20,1725.80,334,190.30,964,69.70,783,60.30,14770,15.90,17824,14.70,40350,12.10,85554,6.90,282713,6.60,631428,4.70
1810,2025-01-24,2,11,19,30,49,3,8,,3,2,3,2,1,2,1,0,1,1,99397573.00,9,92865.40,14,13952.60,64,950.60,1193,93.90,2564,46.20,2385,34.90,37569,11.00,46224,10.00,97848,8.80,191091,5.40,641405,5.10,1351272,3.90
1809,2025-01-21,6,8,14,27,41,4,5,8,3,2,2,3,2,1,1,0,1,0,0.00,5,121051.80,6,23576.50,35,1258.80,837,96.90,1514,56.60,1748,34.40,21547,13.90,35112,9.50,71448,8.70,110536,6.80,482098,4.90,974545,3.90
1808,2025-01-17,8,15,24,35,42,6,8,,3,2,2,3,1,1,1,1,1,0,0.00,9,85022.70,13,13756.90,64,870.30,1052,97.50,2312,46.90,2032,37.50,31713,12.00,42987,9.80,84911,9.30,156737,6.10,576078,5.20,1192259,4.00
1807,2025-01-14,18,20,29,41,48,5,9,,2,3,2,3,0,2,1,0,2,0,0.00,6,95604.50,5,26813.20,19,2197.80,491,156.60,1512,53.70,1095,52.10,23134,12.30,25394,12.50,52451,11.30,131241,5.40,391066,5.70,811530,4.40
1806,2025-01-10,12,27,36,37,42,6,7,,1,4,2,3,0,1,1,2,1,0,0.00,4,179667.00,3,55988.10,31,1687.60,801,120.30,1720,59.20,1557,45.90,24794,14.40,37007,10.70,69838,10.60,131395,6.80,539324,5.20,1040834,4.30
1805,2025-01-07,20,33,35,41,47,4,12,35,1,4,4,1,0,1,0,2,2,0,0.00,1,521898.30,5,24395.20,14,2713.70,412,169.80,924,80.00,1026,50.60,13140,19.70,19699,14.70,48369,11.10,71968,9.00,293098,7.00,731851,4.50
1804,2025-01-03,3,19,29,35,37,1,9,19,2,3,5,0,1,1,1,2,0,0,0.00,2,316853.40,6,24684.60,29,1590.70,608,139.70,1591,56.40,1418,44.50,22935,13.70,29727,11.80,68729,9.50,119525,6.60,439059,5.60,1008934,3.90
1803,2024-12-31,19,24,26,28,33,8,12,33,2,3,2,3,0,1,3,1,0,0,0.00,4,188075.10,11,15984.00,32,1711.40,782,129.00,1606,66.40,1961,38.20,22223,16.80,36088,11.50,90132,8.60,118600,7.90,525874,5.60,1309459,3.60
1802,2024-12-27,12,22,27,33,45,4,8,,2,3,3,2,0,1,2,1,1,1,41205363.00,5,129991.80,9,16878.40,60,788.50,854,102.00,2174,42.30,1923,33.60,29649,10.90,36455,9.90,80975,8.30,147394,5.50,496697,5.10,1098086,3.70
1801,2024-12-24,6,10,16,23,24,11,12,10,5,0,1,4,2,1,2,0,0,0,0.00,2,306780.30,16,8962.40,32,1395.70,763,107.80,1285,67.60,2663,22.90,16824,18.10,30239,11.20,97631,6.50,85694,8.90,409663,5.90,1235083,3.10
1800,2024-12-20,10,14,21,33,50,6,9,21,3,2,2,3,1,1,1,1,1,0,0.00,3,222689.00,8,19517.00,47,1034.00,792,113.00,1908,49.00,1797,37.00,27621,12.00,35050,10.00,77174,8.00,142307,5.00,496007,5.00,1095328,3.00
1799,2024-12-17,1,3,4,21,29,2,7,1,4,1,4,1,3,0,2,0,0,1,77557137.00,1,603073.30,8,17618.50,48,914.60,923,87.60,2094,40.80,1749,34.30,30297,9.90,39664,8.40,75380,8.20,152149,4.90,505740,4.70,1002365,3.80
1798,2024-12-13,1,15,25,42,50,4,10,25,3,2,3,2,1,1,1,0,2,0,0.00,1,880351.00,9,22861.00,46,1393.00,805,146.00,1775,70.00,2226,39.00,26101,16.00,37914,12.00,94973,9.00,143323,7.00,556232,6.00,1372521,4.00
1797,2024-12-10,5,24,25,29,47,5,9,"25,47",3,2,4,1,1,0,3,0,1,0,0.00,1,554372.00,3,43188.00,30,1345.00,596,124.00,1816,43.00,1118,49.00,27028,10.00,28922,10.00,56637,10.00,136199,5.00,434741,5.00,859369,4.00
