Draw,Date,Winning Number 1,2,3,4,5,Lucky Star 1,2,From Last,Low,High,Odd,Even,1-10,11-20,21-30,31-40,41-50,Division 1 Winners,Division 1 Prize,Division 2 Winners,Division 2 Prize,Division 3 Winners,Division 3 Prize,Division 4 Winners,Division 4 Prize,Division 5 Winners,Division 5 Prize,Division 6 Winners,Division 6 Prize,Division 7 Winners,Division 7 Prize,Division 8 Winners,Division 8 Prize,Division 9 Winners,Division 9 Prize,Division 10 Winners,Division 10 Prize,Division 11 Winners,Division 11 Prize,Division 12 Winners,Division 12 Prize,Division 13 Winners,Division 13 Prize
1102,2018-04-13,5,25,34,48,50,6,7,48,2,3,2,3,1,0,1,1,2,0,0.00,8,170554.00,8,39724.00,39,3986.00,934,178.00,1766,74.00,1899,122.00,41044,16.00,29175,21.00,84787,14.00,164842,10.00,633647,8.00,1284361,5.00
1101,2018-04-10,14,27,39,46,48,11,12,,1,4,2,3,0,1,1,1,2,1,17000000.00,2,371547.00,7,24725.00,14,6047.00,424,213.00,1321,54.00,717,176.00,17965,19.00,11155,30.00,52314,13.00,56549,16.00,250305,11.00,759494,5.00
1100,2018-04-06,1,29,33,45,47,4,8,,1,4,5,0,1,0,1,1,2,1,76119641.00,2,614191.00,7,40872.00,35,3998.00,708,211.00,1464,81.00,1848,113.00,32928,17.00,28515,19.00,73462,15.00,168281,9.00,516669,9.00,1139793,5.00
1099,2018-04-03,3,8,16,40,43,5,8,,3,2,2,3,2,1,0,1,1,0,0.00,5,164985.00,3,64045.00,42,2238.00,654,153.00,1174,68.00,1915,73.00,29617,13.00,28448,13.00,54389,13.00,151144,7.00,416552,7.00,805870,5.00
1098,2018-03-30,12,17,28,35,47,7,11,17,2,3,3,2,0,2,1,1,1,0,0.00,4,282849.00,11,23956.00,55,2344.00,870,158.00,1923,57.00,1776,108.00,39337,13.00,25476,20.00,83813,12.00,129691,11.00,559458,8.00,1204806,4.00
1097,2018-03-27,17,20,23,40,46,9,10,46,3,2,2,3,0,2,1,1,1,0,0.00,0,0.00,7,142842.00,13,7107.00,531,186.00,1160,67.00,956,144.00,23981,16.00,14104,25.00,55828,13.00,73908,14.00,367137,8.00,852071,4.00
1096,2018-03-23,5,7,11,46,50,8,11,,3,2,3,2,2,1,0,0,2,0,0.00,4,274834.00,1,256048.00,26,4817.00,782,171.00,1824,58.00,1537,121.00,37125,14.00,21909,22.00,89006,11.00,113358,12.00,518659,8.00,1263442,4.00
1095,2018-03-20,26,29,37,39,44,9,11,,0,5,3,2,0,0,2,2,1,0,0.00,2,385608.50,2,89812.60,21,4183.80,472,198.50,1089,120.10,1115,66.50,14333,23.80,22841,15.80,51922,13.10,75884,12.70,324786,8.90,742868,4.70
1094,2018-03-16,4,17,24,27,31,10,11,,3,2,3,2,1,1,2,1,0,0,0.00,3,357907.00,8,31260.00,36,3398.00,868,150.00,3011,34.00,1318,138.00,34411,15.00,18824,25.00,110927,9.00,96201,14.00,451314,9.00,1398493,4.00
1093,2018-03-13,9,11,13,33,49,6,12,9,3,2,5,0,1,2,0,1,1,1,61521581.00,3,304874.00,6,35504.00,32,3256.00,821,135.00,2537,35.00,1168,133.00,30904,14.00,16318,25.00,91082,9.00,82028,14.00,415404,8.00,1173870,4.00
1092,2018-03-09,9,14,21,32,44,1,12,44,3,2,2,3,1,1,1,1,1,0,0.00,2,596941.00,21,13241.00,39,3487.00,848,171.00,2737,42.00,1444,140.00,32400,17.00,20167,26.00,105598,10.00,105822,14.00,459675,10.00,1436467,4.00
1091,2018-03-06,15,20,26,31,44,2,9,,2,3,2,3,0,2,1,1,1,0,0.00,4,212511.00,7,28284.00,39,2483.00,613,169.00,1307,63.00,1554,93.00,27641,14.00,24047,16.00,57846,13.00,131279,8.00,410692,8.00,843713,5.00
1090,2018-03-02,2,7,34,45,48,1,12,48,2,3,2,3,2,0,0,1,2,0,0.00,2,556146.00,10,25907.00,21,6034.00,577,234.00,1499,71.00,1135,166.00,25546,20.00,17774,28.00,73784,13.00,98073,14.00,395706,11.00,1173433,4.00
1089,2018-02-27,3,31,41,48,50,8,11,,1,4,3,2,1,0,0,1,3,0,0.00,0,0.00,2,498734.00,21,4389.00,387,254.00,855,91.00,917,150.00,19689,19.00,13776,26.00,44670,16.00,77440,13.00,316170,10.00,724282,5.00
1088,2018-02-23,10,17,18,28,47,3,7,,3,2,2,3,1,2,1,0,1,2,88862248.00,5,485787.00,16,35358.00,172,1609.00,1994,148.00,3890,60.00,6898,60.00,90759,13.00,98958,11.00,179067,12.00,486402,6.00,1322556,7.00,2594009,4.00
1087,2018-02-20,6,14,19,25,29,5,11,,4,1,3,2,1,2,2,0,0,0,0.00,6,257544.00,21,17139.00,60,2934.00,1452,129.00,2540,46.00,3227,103.00,36205,13.00,57333,19.00,131701,10.00,184689,10.00,775787,7.00,1755147,4.00
1086,2018-02-16,10,12,23,32,50,4,10,10,3,2,1,4,1,1,1,1,1,0,0.00,5,355137.00,17,24328.00,67,3019.00,1409,153.00,3301,52.00,2619,115.00,60136,14.00,37497,21.00,149371,11.00,187050,12.00,834983,8.00,2066188,4.00
1085,2018-02-13,10,13,17,21,44,1,10,44,4,1,3,2,1,2,1,0,1,0,0.00,4,333913.00,9,34565.00,42,3623.00,1130,144.00,3144,41.00,2160,105.00,49475,13.00,27406,22.00,132437,9.00,134707,12.00,643127,8.00,1698031,4.00
1084,2018-02-09,22,31,36,38,44,1,11,38,1,4,1,4,0,0,1,3,1,0,0.00,1,1711395.00,8,49825.00,52,3749.00,925,225.00,2260,73.00,2179,133.00,43948,18.00,31650,24.00,112639,13.00,174441,12.00,664157,10.00,1708450,5.00
1083,2018-02-06,8,17,28,34,38,6,12,34,2,3,1,4,1,1,1,2,0,0,0.00,5,259091.00,14,21552.00,37,3989.00,1067,148.00,2956,42.00,1719,128.00,41623,15.00,23608,24.00,114702,10.00,121659,13.00,552906,9.00,1484274,4.00
1082,2018-02-02,14,34,36,39,48,2,3,,1,4,1,4,0,1,0,3,1,0,0.00,3,511562.00,9,39716.00,41,4264.00,965,193.00,1954,76.00,1818,143.00,44803,16.00,28065,24.00,91932,15.00,161018,12.00,669394,9.00,1363018,5.00
1081,2018-01-30,11,15,21,27,35,4,5,15,3,2,5,0,0,2,2,1,0,0,0.00,5,211446.00,8,30780.00,62,1943.00,1090,118.00,1972,52.00,1974,91.00,45781,11.00,26715,18.00,83903,11.00,130826,10.00,602610,7.00,1144898,4.00
1080,2018-01-26,6,15,24,28,48,4,9,24,3,2,1,4,1,1,2,0,1,0,0.00,1,1349899.00,14,22458.00,71,2166.00,1109,148.00,2308,56.00,2875,80.00,46745,14.00,40328,15.00,101544,12.00,208277,8.00,650928,8.00,1404360,4.00
1079,2018-01-23,5,8,9,23,24,7,8,8,5,0,3,2,3,0,2,0,0,0,0.00,4,246214.00,8,28673.00,50,2244.00,1352,89.00,2262,42.00,2015,83.00,49803,9.00,26961,16.00,88016,10.00,123402,10.00,632007,6.00,1157590,4.00
1078,2018-01-19,3,8,17,44,50,2,7,,3,2,2,3,2,1,0,0,2,0,0.00,4,317750.00,9,32892.00,64,2262.00,1032,150.00,2246,54.00,2788,77.00,46628,13.00,41751,13.00,95116,12.00,218796,7.00,677323,7.00,1353402,4.00
1077,2018-01-16,20,23,31,34,46,3,12,23,2,3,2,3,0,1,1,2,1,0,0.00,4,228762.00,5,42625.00,19,5487.00,554,201.00,1297,68.00,1007,154.00,24410,18.00,13688,30.00,60992,13.00,74728,15.00,362340,9.00,907204,5.00
1076,2018-01-12,13,21,23,30,45,4,6,,3,2,4,1,0,1,3,0,1,0,0.00,3,402940.00,8,35193.00,62,2221.00,1034,142.00,2160,54.00,2565,80.00,44300,13.00,35886,15.00,99615,11.00,178250,8.00,616246,7.00,1372220,4.00
1075,2018-01-09,6,12,15,38,49,2,9,38,3,2,2,3,1,2,0,1,1,0,0.00,3,274999.00,5,38430.00,28,3357.00,584,172.00,1233,64.00,1474,95.00,28300,14.00,22441,16.00,57271,13.00,119632,9.00,415934,7.00,837537,5.00
1074,2018-01-05,2,5,20,38,41,4,8,20,3,2,2,3,2,1,0,1,1,0,0.00,7,155586.00,9,28185.00,42,2954.00,650,204.00,1523,69.00,1790,103.00,32348,16.00,28155,17.00,71335,14.00,156933,9.00,490695,8.00,1082488,5.00
1073,2018-01-02,10,20,21,28,48,1,8,48,3,2,1,4,1,1,2,0,1,0,0.00,3,237898.11,1,166227.54,22,3695.77,536,161.80,1210,100.05,1135,60.49,17609,17.96,24060,13.89,53024,11.93,87475,10.22,354721,7.56,778317,4.24
1072,2017-12-29,4,8,22,23,48,1,12,4,4,1,1,4,2,0,2,0,1,1,38906715.00,0,0.00,10,159960.00,31,4768.00,800,197.00,2339,53.00,1587,139.00,36308,17.00,22915,25.00,111558,10.00,120488,13.00,518891,9.00,1568634,4.00
1071,2017-12-26,4,17,30,43,44,2,10,"30,43",2,3,2,3,1,1,1,0,2,0,0.00,3,235211.00,9,18261.00,27,2977.00,493,174.00,1138,60.00,1053,114.00,21175,16.00,14551,21.00,50947,12.00,75333,12.00,310777,9.00,754009,4.00
1070,2017-12-22,5,24,30,31,43,3,6,30,2,3,3,2,1,0,2,1,1,0,0.00,3,391378.00,7,39067.00,46,2908.00,835,171.00,1787,63.00,2178,91.00,38154,14.00,32634,16.00,78611,13.00,176731,8.00,564949,8.00,1157067,5.00
1069,2017-12-19,8,15,30,38,46,4,7,30,2,3,1,4,1,1,1,1,1,1,135346147.00,3,434846.00,7,43406.00,63,2359.00,957,166.00,2168,58.00,2380,93.00,41492,15.00,34567,17.00,95559,12.00,193533,8.00,604183,8.00,1287357,5.00
1068,2017-12-15,25,30,31,42,50,2,11,50,1,4,2,3,0,0,2,1,2,0,0.00,0,0.00,5,395728.00,42,4353.00,845,231.00,2050,75.00,2063,132.00,42586,18.00,31232,23.00,99990,14.00,171626,12.00,659729,9.00,1574363,5.00
1067,2017-12-12,20,37,39,44,50,4,8,,1,4,2,3,0,1,0,2,2,0,0.00,3,402110.00,5,56194.00,35,3927.00,676,217.00,1442,80.00,1859,110.00,36313,16.00,27480,19.00,74052,14.00,160237,9.00,514269,9.00,1120517,5.00
1066,2017-12-08,4,22,30,32,34,3,4,,2,3,0,5,1,0,2,2,0,0,0.00,3,477524.00,5,66733.00,48,3400.00,928,188.00,1950,71.00,2165,112.00,46679,14.00,31992,20.00,91931,14.00,166876,11.00,706341,8.00,1384859,5.00
1065,2017-12-05,11,36,43,44,48,2,7,,1,4,2,3,0,1,0,1,3,0,0.00,2,538408.00,8,31350.00,27,4544.00,538,243.00,1303,80.00,1732,105.00,29385,17.00,27668,17.00,62963,15.00,166184,8.00,463148,9.00,970404,5.00
1064,2017-12-01,5,24,29,35,46,11,12,,2,3,3,2,1,0,2,1,1,0,0.00,3,442968.00,5,61903.00,28,5407.00,665,243.00,1831,70.00,1257,179.00,30961,20.00,19583,30.00,89894,13.00,107739,15.00,462590,11.00,1425495,4.00
1063,2017-11-28,1,6,12,18,42,2,7,,4,1,1,4,2,2,0,0,1,0,0.00,6,157546.00,6,36694.00,47,2291.00,888,129.00,1815,50.00,2409,67.00,37638,12.00,31595,13.00,74992,11.00,159087,7.00,505364,7.00,1000302,4.00
1062,2017-11-24,19,24,28,30,50,3,10,28,2,3,1,4,0,1,3,0,1,0,0.00,0,0.00,6,253062.00,49,2863.00,796,188.00,1882,63.00,1854,113.00,38381,15.00,26950,20.00,88186,12.00,140410,11.00,577668,8.00,1335049,4.00
1061,2017-11-21,2,10,14,28,31,5,7,,3,2,1,4,2,1,1,1,0,0,0.00,4,215153.00,6,33408.00,78,1257.00,1097,95.00,2066,40.00,2675,55.00,39261,10.00,33869,11.00,72995,10.00,163151,7.00,490855,7.00,906994,4.00
1060,2017-11-17,20,26,35,36,42,5,12,,1,4,1,4,0,1,1,2,1,0,0.00,0,0.00,5,296640.00,18,7614.00,661,221.00,1502,77.00,1199,170.00,29453,19.00,18349,29.00,70888,15.00,100915,15.00,469372,10.00,1134395,5.00
1059,2017-11-14,14,16,39,40,41,8,10,,2,3,2,3,0,2,0,2,1,0,0.00,3,264447.00,1,184778.00,13,6952.00,421,229.00,981,78.00,922,146.00,20209,18.00,14331,25.00,47162,15.00,80222,12.00,313177,10.00,740469,5.00
1058,2017-11-10,13,22,29,36,37,1,9,37,2,3,3,2,0,1,2,2,0,0,0.00,0,0.00,8,180379.00,53,2516.00,1057,135.00,2562,44.00,2100,95.00,39528,14.00,28957,18.00,90530,11.00,153944,10.00,549490,8.00,1241136,4.00
1057,2017-11-07,7,19,20,37,41,2,12,41,3,2,4,1,1,2,0,1,1,0,0.00,0,0.00,2,486972.00,22,4091.00,446,215.00,858,156.00,1210,63.00,21728,17.00,12194,29.00,60738,12.00,64618,15.00,332500,9.00,907965,4.00
1056,2017-11-03,5,12,17,33,41,4,9,12,3,2,4,1,1,2,0,1,1,1,28709464.00,3,356886.00,14,17812.00,73,1671.00,1083,120.00,2753,66.00,2301,45.00,40572,12.00,35152,13.00,89458,11.00,173864,8.00,549552,7.00,1198104,4.00
1055,2017-10-31,1,12,36,43,46,3,5,,2,3,2,3,1,1,0,1,2,0,0.00,0,0.00,3,317036.00,17,5170.00,352,266.00,1096,119.00,820,91.00,20167,18.00,19570,17.00,42156,16.00,124637,8.00,334761,9.00,675122,5.00
1054,2017-10-27,3,16,23,32,39,1,4,,3,2,3,2,1,1,1,2,0,1,17000000.00,3,356433.00,16,15566.00,38,3206.00,953,136.00,1563,116.00,2301,45.00,35272,14.00,22235,21.00,86571,11.00,117047,11.00,499948,8.00,1171498,4.00
1053,2017-10-24,9,11,13,27,33,7,10,27,3,2,5,0,1,2,1,1,0,1,65407072.00,6,148690.00,11,18890.00,54,1882.00,1277,85.00,1817,83.00,2655,32.00,44165,9.00,22229,18.00,95656,8.00,103819,11.00,523928,6.00,1148829,4.00
1052,2017-10-20,4,17,23,27,30,3,8,17,3,2,3,2,1,1,3,0,0,0,0.00,8,151492.00,15,18818.00,84,1644.00,1525,97.00,3401,60.00,2873,41.00,56967,10.00,43688,12.00,110324,10.00,200749,8.00,712640,6.00,1403739,4.00
1051,2017-10-17,13,17,19,26,36,2,3,,3,2,3,2,0,3,1,1,0,0,0.00,0,0.00,8,130420.00,30,3214.00,783,131.00,1482,97.00,1513,54.00,36243,11.00,19604,19.00,66783,11.00,97256,11.00,501781,6.00,933246,4.00
1050,2017-10-13,23,29,37,45,50,5,11,37,1,4,4,1,0,0,2,1,2,0,0.00,2,737887.00,9,38192.00,45,3736.00,893,201.00,2134,117.00,2048,69.00,43671,16.00,30447,21.00,96775,14.00,164479,11.00,637728,9.00,1420204,5.00
1049,2017-10-10,4,21,34,36,37,3,6,,2,3,2,3,1,0,1,3,0,0,0.00,1,841908.00,4,49023.00,26,3689.00,466,220.00,1361,105.00,989,82.00,23807,17.00,21211,18.00,49395,15.00,121922,9.00,368630,9.00,763924,5.00
1048,2017-10-06,1,9,15,19,25,1,7,,5,0,5,0,2,2,1,0,0,1,190000000.00,16,1291056.00,22,27911.00,161,1865.00,3119,103.00,6365,70.00,5668,45.00,116308,11.00,79614,15.00,221456,11.00,363925,9.00,1438780,7.00,2939995,4.00
1047,2017-10-03,6,24,32,48,50,1,5,"32,48",2,3,0,5,1,0,1,1,2,0,0.00,4,1504612.00,17,29859.00,70,3547.00,1469,180.00,2999,123.00,3497,60.00,65740,16.00,46207,21.00,147110,13.00,262334,10.00,952354,9.00,2107578,5.00
1046,2017-09-29,7,18,19,32,48,3,7,48,3,2,2,3,1,2,0,1,1,0,0.00,7,320208.00,20,26103.00,124,2059.00,2028,134.00,6348,60.00,3908,55.00,83594,13.00,91021,11.00,162999,12.00,453867,6.00,1191188,7.00,2300570,5.00
1045,2017-09-26,1,29,40,41,48,6,12,,1,4,3,2,1,0,1,1,2,0,0.00,8,199677.00,7,53151.00,42,4333.00,800,243.00,1752,155.00,1916,80.00,37830,20.00,26674,27.00,94285,15.00,148962,13.00,596975,10.00,1488156,5.00
1044,2017-09-22,6,11,31,39,42,1,3,,2,3,3,2,1,1,0,2,1,0,0.00,2,963345.00,9,49861.00,64,3430.00,1266,185.00,2671,122.00,2757,67.00,59276,15.00,42947,20.00,132787,13.00,231066,10.00,888030,8.00,1963331,5.00
1043,2017-09-19,1,8,21,30,45,2,3,,3,2,3,2,2,0,2,0,1,0,0.00,8,174307.00,11,29526.00,41,3875.00,1049,162.00,2091,113.00,2210,61.00,47511,14.00,30268,20.00,97136,13.00,157465,11.00,696585,8.00,1405122,5.00
1042,2017-09-15,13,18,37,44,49,9,12,,2,3,3,2,0,2,0,1,2,0,0.00,6,354592.00,19,26081.00,42,5771.00,1418,182.00,2533,142.00,3429,60.00,64513,15.00,36245,26.00,159188,12.00,190862,14.00,919842,9.00,2283940,4.00
1041,2017-09-12,10,17,27,29,35,4,11,,2,3,4,1,1,1,2,1,0,0,0.00,2,408038.00,5,38015.00,26,3576.00,697,142.00,1255,110.00,1740,45.00,28998,13.00,17329,21.00,78450,9.00,86249,12.00,387697,8.00,989179,4.00
1040,2017-09-08,9,24,42,47,49,1,5,9,2,3,3,2,1,0,1,0,3,0,0.00,1,1051958.00,4,61253.00,24,4993.00,580,220.00,1466,122.00,1346,75.00,29517,17.00,22753,20.00,65617,14.00,130535,10.00,463292,9.00,1003813,5.00
1039,2017-09-05,6,9,18,28,29,1,9,,3,2,2,3,2,1,2,0,0,0,0.00,5,142799.00,12,13858.00,57,1427.00,906,96.00,1668,73.00,1603,43.00,31037,11.00,21772,15.00,65089,10.00,98087,9.00,391894,7.00,838812,4.00
1038,2017-09-01,3,7,8,14,49,5,8,,4,1,3,2,3,1,0,0,1,1,28287321.00,3,344019.00,5,48076.00,44,2672.00,955,131.00,2749,64.00,1830,54.00,43119,11.00,41270,11.00,85550,11.00,204738,6.00,595082,7.00,1179926,4.00
1037,2017-08-29,4,12,15,32,38,1,5,15,3,2,1,4,1,2,0,2,0,0,0.00,1,695444.00,4,40494.00,29,2732.00,567,149.00,1155,102.00,1180,57.00,23963,14.00,17328,18.00,51303,12.00,91726,10.00,350582,7.00,732569,4.00
1036,2017-08-25,1,5,7,15,47,9,12,,4,1,5,0,3,1,0,0,1,1,17000000.00,2,495917.00,14,16501.00,24,4708.00,841,143.00,1054,160.00,2304,41.00,33589,14.00,14733,30.00,98628,9.00,74972,17.00,449128,8.00,1254375,4.00
1035,2017-08-22,3,10,12,17,27,3,5,,4,1,3,2,2,2,1,0,0,1,44105265.00,12,64840.00,8,22653.00,126,704.00,1540,61.00,3727,35.00,2247,33.00,48664,7.00,36864,9.00,79413,9.00,149279,7.00,531479,6.00,930622,4.00
1034,2017-08-18,2,24,39,42,45,2,8,,2,3,2,3,1,0,1,1,2,0,0.00,3,346160.00,5,48375.00,36,3286.00,650,194.00,2017,87.00,1318,76.00,30161,16.00,30792,15.00,62411,15.00,173919,7.00,455753,9.00,946271,5.00
1033,2017-08-15,10,14,30,35,46,4,10,46,2,3,1,4,1,1,1,1,1,0,0.00,0,0.00,4,203989.00,18,4189.00,397,203.00,796,141.00,930,68.00,18107,17.00,12204,24.00,43179,14.00,64398,13.00,277649,9.00,667406,5.00
1032,2017-08-11,18,28,39,46,48,5,12,,1,4,1,4,0,1,1,1,2,0,0.00,3,331153.00,5,46278.00,33,3430.00,646,0.87,1027,164.00,1536,62.00,27002,17.00,14822,30.00,66401,13.00,79233,16.00,384165,10.00,938643,5.00
1031,2017-08-08,15,25,26,40,41,4,5,"40,41",2,3,3,2,0,1,2,1,1,1,36563144.00,4,190106.00,5,35422.00,24,3610.00,485,191.00,1171,110.00,975,75.00,23975,15.00,17221,20.00,45521,15.00,90484,11.00,369504,8.00,705906,5.00
1030,2017-08-04,29,30,36,40,41,2,9,"29,30",0,5,2,3,0,0,2,2,1,0,0.00,4,257084.00,5,47902.00,25,4686.00,519,241.00,1197,146.00,1076,92.00,24919,19.00,22690,20.00,52567,17.00,137455,9.00,420217,9.00,879894,5.00
1029,2017-08-01,14,21,24,29,30,8,10,29,3,2,2,3,0,1,4,0,0,0,0.00,4,178436.00,12,13853.00,25,3252.00,579,150.00,1096,110.00,1464,47.00,23699,14.00,14436,22.00,58934,11.00,74867,12.00,330638,8.00,810694,4.00
1028,2017-07-28,5,9,29,31,41,2,4,,2,3,5,0,2,0,1,1,1,1,57871110.00,3,386027.00,7,38533.00,57,2315.00,819,172.00,1984,99.00,1850,60.00,38374,14.00,28366,18.00,83876,12.00,148371,10.00,570357,8.00,1218959,4.00
1027,2017-07-25,12,14,43,44,48,2,11,,2,3,1,4,0,2,0,0,3,0,0.00,1,789831.00,3,61320.00,23,3912.00,376,255.00,955,140.00,931,82.00,20402,18.00,15590,22.00,46814,15.00,88833,11.00,327437,9.00,772642,5.00
1026,2017-07-21,1,8,9,26,49,5,9,1,3,2,3,2,3,0,1,0,1,0,0.00,2,524034.00,3,81369.00,52,2296.00,895,142.00,2398,74.00,1716,59.00,41037,12.00,35167,13.00,76145,12.00,182995,7.00,564974,7.00,1069100,5.00
1025,2017-07-18,1,25,27,41,45,5,7,,2,3,5,0,1,0,2,0,2,0,0.00,5,148215.00,2,86303.00,21,4020.00,474,190.00,1499,84.00,902,79.00,22709,15.00,25984,13.00,42754,15.00,143431,6.00,366785,8.00,675226,5.00
1024,2017-07-14,11,14,20,21,47,7,10,14,4,1,3,2,0,3,1,0,1,0,0.00,1,1004017.00,3,77949.00,38,3010.00,709,172.00,1446,118.00,1532,63.00,34252,14.00,21105,21.00,75388,12.00,108366,12.00,500930,8.00,1108450,4.00
1023,2017-07-11,14,22,26,42,50,8,10,,2,3,0,5,0,1,2,0,2,1,17000000.00,2,369210.00,5,34397.00,29,2901.00,443,203.00,955,131.00,1072,66.00,21345,16.00,14187,23.00,50952,13.00,75221,12.00,319253,9.00,762345,4.00
1022,2017-07-07,11,20,35,37,45,3,6,37,2,3,4,1,0,2,0,2,1,1,28975630.00,5,218999.00,10,25504.00,31,4024.00,821,162.00,1682,110.00,1598,66.00,32427,16.00,26983,18.00,67850,14.00,157645,9.00,491840,8.00,1022080,5.00
1021,2017-07-04,10,22,25,37,49,5,8,,3,2,3,2,1,0,2,1,1,0,0.00,2,379863.00,4,44237.00,41,2111.00,576,160.00,1875,69.00,1228,60.00,26491,13.00,26316,13.00,53474,13.00,139075,7.00,384356,7.00,761876,5.00
1020,2017-06-30,17,35,39,47,50,6,8,17,1,4,4,1,0,1,0,2,2,1,100000000.00,6,312628.00,7,62412.00,51,4190.00,1145,199.00,2819,113.00,2660,68.00,54632,16.00,42873,19.00,120296,14.00,239603,10.00,819304,9.00,1773960,5.00
1019,2017-06-27,9,17,21,28,45,1,3,21,3,2,4,1,1,1,2,0,1,0,0.00,7,134620.00,7,31354.00,50,2147.00,1018,112.00,1645,97.00,2042,44.00,38384,11.00,23269,18.00,82034,10.00,117443,10.00,497070,7.00,1070350,4.00
1018,2017-06-23,3,4,21,31,38,3,7,,3,2,3,2,2,0,1,2,0,0,0.00,4,299870.00,4,69843.00,45,3037.00,725,201.00,3326,61.00,1557,74.00,41003,14.00,53795,10.00,77727,14.00,271863,6.00,637300,7.00,1198651,5.00
1017,2017-06-20,11,18,26,43,44,8,10,,2,3,2,3,0,2,1,0,2,0,0.00,3,281581.00,4,49188.00,24,4010.00,533,193.00,1130,127.00,1275,64.00,25527,15.00,16821,22.00,60458,12.00,87600,12.00,379200,8.00,897423,4.00
1016,2017-06-16,15,17,38,41,42,9,12,,2,3,3,2,0,2,0,1,2,0,0.00,8,140526.00,13,20142.00,20,6404.00,653,209.00,1070,178.00,1684,64.00,29474,18.00,15981,31.00,75357,13.00,85775,16.00,442692,10.00,1159464,4.00
1015,2017-06-13,3,12,22,27,49,4,11,27,3,2,3,2,1,1,2,0,1,0,0.00,2,407800.00,12,15830.00,26,3574.00,611,162.00,1279,108.00,1735,45.00,28149,14.00,16878,21.00,74209,10.00,84363,12.00,386576,8.00,997580,4.00
1014,2017-06-09,9,20,27,39,43,10,11,20,2,3,4,1,1,1,1,1,1,0,0.00,1,1114645.00,11,23601.00,17,7470.00,699,194.00,1351,140.00,2157,50.00,31122,17.00,18657,26.00,90499,11.00,101443,14.00,431977,10.00,1276750,4.00
1013,2017-06-06,20,22,25,37,40,3,7,,3,2,2,3,0,1,2,2,0,0,0.00,0,0.00,3,318587.00,31,2849.00,514,183.00,1657,79.00,1063,70.00,22954,16.00,27783,12.00,47389,14.00,162020,6.00,367668,8.00,733727,5.00
1012,2017-06-02,8,10,24,33,42,3,9,,3,2,1,4,2,0,1,1,1,1,153873716.00,7,290732.00,23,20609.00,111,2089.00,1827,135.00,4387,79.00,3983,49.00,74589,13.00,61745,15.00,158010,11.00,329474,8.00,1025852,7.00,2159425,4.00
1011,2017-05-30,7,12,27,38,48,6,9,7,2,3,2,3,1,1,1,1,1,0,0.00,3,484443.00,17,19912.00,54,3066.00,1266,139.00,2982,83.00,2866,49.00,53492,13.00,40909,16.00,115921,11.00,206300,9.00,747463,7.00,1604043,4.00
1010,2017-05-26,5,7,26,36,39,2,10,,2,3,3,2,2,0,1,2,0,0,0.00,4,427598.00,9,44263.00,55,3543.00,1230,169.00,2572,113.00,2715,61.00,52565,15.00,37779,20.00,127337,12.00,196462,11.00,787862,8.00,1895568,4.00
1009,2017-05-23,8,15,25,27,42,1,4,,3,2,3,2,1,1,2,0,1,0,0.00,4,334479.00,8,38952.00,51,2989.00,1066,153.00,2117,107.00,2582,50.00,47039,13.00,28867,21.00,109569,11.00,149808,11.00,642045,8.00,1505250,4.00
1008,2017-05-19,9,11,12,19,30,4,9,"11,30",4,1,3,2,1,3,1,0,0,0,0.00,6,269554.00,15,25113.00,116,1588.00,2155,91.00,4725,58.00,3998,39.00,78073,10.00,58946,12.00,153428,9.00,263339,8.00,937524,6.00,1938752,4.00
1007,2017-05-16,8,11,15,20,30,3,8,20,4,1,2,3,1,3,1,0,0,0,0.00,3,372071.00,17,15293.00,82,1551.00,1365,99.00,2998,63.00,2487,43.00,50466,10.00,37148,13.00,95673,10.00,173088,8.00,618881,7.00,1229049,4.00
1006,2017-05-12,2,20,28,29,44,3,9,,2,3,1,4,1,1,2,0,1,0,0.00,0,0.00,10,170117.00,55,2858.00,923,182.00,2642,89.00,2063,64.00,45203,14.00,40239,15.00,94832,13.00,223008,8.00,673987,8.00,1398397,5.00
1005,2017-05-09,8,12,16,22,26,6,7,,4,1,0,5,1,2,2,0,0,0,0.00,10,96433.00,13,17277.00,52,2113.00,1263,93.00,2087,78.00,2231,42.00,45771,10.00,28776,15.00,83417,10.00,127810,9.00,580491,6.00,1076334,4.00
1004,2017-05-05,3,7,30,35,43,1,3,,2,3,4,1,2,0,1,1,1,0,0.00,4,309747.00,2,144287.00,41,3443.00,923,163.00,1887,111.00,1698,70.00,43330,13.00,31310,18.00,84899,13.00,157020,10.00,636510,7.00,1278175,4.00
1003,2017-05-02,6,19,23,25,27,11,12,25,4,1,4,1,1,1,3,0,0,0,0.00,2,395317.00,13,14165.00,20,4504.00,573,168.00,808,166.00,2340,33.00,22325,17.00,11636,30.00,87738,8.00,60687,16.00,300043,10.00,1103995,3.00
1002,2017-04-28,14,20,25,30,39,2,8,,3,2,2,3,0,2,2,1,0,0,0.00,2,582415.00,4,67826.00,63,2106.00,872,162.00,2620,75.00,1794,62.00,38755,14.00,37060,14.00,81489,13.00,196312,7.00,557444,8.00,1180984,5.00
1001,2017-04-25,9,11,19,32,43,3,9,,3,2,4,1,1,2,0,1,1,0,0.00,9,87179.00,7,26106.00,50,1788.00,758,126.00,2180,61.00,1403,54.00,31559,12.00,29523,12.00,58499,12.00,141385,7.00,431628,7.00,820118,4.00
